ID,Title,Price_Location,Body_Text
0,3 beds · 2 bath · Apartment,$430 / Month,"Private Room For Rent
5176 N University Ave, Provo, UT 84604-5990, United States"
1,WOMEN'S PRIVATE ROOM,"$300 · Provo, UT","selling my PRIVATE ROOM for $300/month plus utilities, originally $400/month + utilities! available ASAP and goes until Mid-August, option to renew for fall as of now. FREE PARKING (literally amazing) and washer/dryer in unit! if you're looking to room with a friend or two, let me know, i can make it happen. great location south of BYU campus and within minutes walking distance. message me for more details! :)"
2,Big private room at the Branbury :),"$470 · Santaquin, UT","Hey everyone!!
I’m selling my contract at the Branbury through the summer (June-August) and can move in mid-June:)
It’s a big private room with a full bed! The Branbury is very social specially during the summer! Message me if you have any questions☺️"
3,ISO shared women’s contract within walking distance to BYU,"$500 · Provo, UT","Looking for a shared room for this fall/winter (and a roommate too!!) close to BYU campus, with parking. Preferably less than $500, and I’m especially looking for contracts at the riviera (but I’m open to others)!"
4,ISO-Fall/Winter housing Womens,"$450 · Denton, TX",I’m looking for housing close to BYU starting in fall let me know what you have!
5,Private Room in Townhouse,"$550 · Bluffdale, UT",It’s bedroom 3! Sweetest and cleanest roommates!
6,ISO *Two* Women's Fall/Winter,"$350 · Provo, UT","Looking for *two* women's contracts, FALL/WINTER, south of campus."
7,Isles Mens contract,"$500 · Provo, UT","I’m selling my contract at the isles !!! It’s a private room on the first floor with 3 awesome roommates and it’s 2 minutes from BYU. The ward is awesome. Reduced rent for may-august, and available for fall. Message me if you’re interested!"
8,Looking for 3 Women’s Contracts,"$380 · Provo, UT","Hey everyone! I’m looking for a Fall 2020/Winter 2021 contract for 3 girls (myself, my twin sister, and my cousin). Budget of under $380/mo. and preferably close to BYU campus! Let me know of anything! 😊"
9,Womens Housing,"$350 · Provo, UT","Me and my roommate are looking for a place for fall/winter, ideally 4 contracts under $350 at a location near a UVX stop!"
10,One bedroom apartment,"$1,050 · Orem, UT","Selling our one bedroom apartment. Flexible on move in date!!
Pet friendly!!
Complex includes:
Underground parking...

See More"
11,4 beds · 2 bath · Apartment,$275 / Month,4 Beds 2 Baths - Apartment
12,DISCOUNTED WOMENS SPRING/SUMMER CONTRACT,"$350 · Provo, UT","I’m selling my contract at the Riviera for spring/summer! It’s usually $404 a month but I’m discounting it to $350 for July and August and $150 for June!
-usually a shared room but will be private for the summer—- biggest shared rooms for BYU housing! (Or you can move in with a friend)
-NOT renewable for fall (unless you get put on the waitlist)
-2 bedrooms and 2 bathrooms
-recently renovated...


See More"
13,"Private Female Room at the Branbury, May-August!","$415 · Provo, UT","- May rent already paid!
- Super sweet roommates
- Hot tub, pool, tanning bed, FREE nail salon, gym all included
- $415 plus Utilities, but I am willing to negotiate 🙂"
14,Women's Private Room - BYU approved,"$445 · Provo, UT","***Sign now while you can share a place with your friends, 3 rooms still available***
Fernwood condos BYU approved women's PRIVATE room, great location only 2.5 blocks from campus. Washer and Dryer in condo.
No additional charge for parking (4 rooms / 4 parking spots) Move in August 24. Text 801-319-1191 if interested."
15,4 beds · 2 bath · House,"$1,750 / Month","Remodeled home in central location! Behind Target, and walking distance to Mountain View High, Orem Elementary. Close to UVU, freeway access, and many shopping centers.
No yard maintenance required 🙂
Laundry included 👍"
16,4 beds · 2 bath · Apartment,$360 / Month,"Awesome place close to BYU campus and right next to the uvx bus stop. Willing to discount the deposit or first months rent, any questions feel free to ask! Move in asap :) theres also another room available in the same place so if you have a friend too let me know!
Condo includes:
*FREE off street/underground parking*...





See More"
17,3x1.5 and 3x2,"$324 · Provo, UT","Recently renovated
Two fridges in the apartment!
Right next to Lavell Edwards Stadium...
See More"
18,Condo Row DISCOUNTED,"$255 · Provo, UT","DISCOUNTED! I am selling my CONDO ROW contract starting July-August and RENEWABLE FOR FALL if you want! It is $355 for Summer, but I will pay $100 of the rent, so it will only be $255 a month!
It has been my favorite place in Provo by far.
-Two full bathrooms for four people...
See More"
19,Old Mill 121 - BYU Contracted Housing,"$279 · Provo, UT","Student is selling contract at only $279/month!! Her loss your gain!! 4 Private Rooms with Private Baths! HUGE condo with lots of storage! 3 swimming pools, including one in a year round tropical solarium with beach sand volleyball, game table, gazebos, UTA bus #830 comes by every 30 min with a 12 min ride to BYU and a 14 min ride to UVU! The RYDE Free BYU Shuttle also comes by right out front! Fully Furnished, Group spaces available, BYU approved housing, UVU and other s...
See More"
20,$190/month Men's Contract at Centennial Apartments,"$190 · Provo, UT","- available now through August (May is paid for!)
- deeply discounted price for a contract at Centennial Apartments (usually $300/month)
- shared room (great roommate!) in a three bedroom apartment
- comfortable living room with television
- two showers and four bathroom sinks...




See More"
21,ISO For Fall ONLY,"$400 · Provo, UT",I need 2 contracts for either shared or private room within the same unit. Preferably just us two or one or two other girls 2-4 bedrooms in total. Preferably close to campus. Parking for at least one or both girls. Needs to be 430 including utilities. It HAS to be BYU approved because my friend is an athlete. Please only respond if you have fall contracts nothing spring summer that’s renewable. We both are still paying rent on our current apts.
22,ISO: private room under $350,"$350 · Provo, UT",I am looking for a place ASAP- end of contract (August). Looking to spend under $350/month.
23,2 Bedroom 2 Bath Apartment near Provo Library,"$1,039 · Provo, UT","Beautiful 2 bedroom, 2 bathroom apartment within walking distance of BYU right by the city library. It comes with some furniture (small dressers, a few couches, and a small dining table with chairs), washer/dryer in unit, AC, covered parking, and a great upstairs loft. It would be available to move-in June 12th. You would be taking over a lease that ends in August and would have the option to renew now or in August for another year. If interested please pm me for more information. If you want a tour we would prefer to do that over zoom."
24,ISO,"FREE · Provo, UT","Looking for FALL housing for 3 girls!
-close to BYU
-$400 or under
-parking"
25,"West Cambridge 8, Men's Condo (2 shared)","$370 · Provo, UT","1 shared space available from now until the end of August for $280/month
1 shared space available for July and August for $280/month
2 shared spaces (same as previous) available for the next contract cycle (from fall semester 2020 through summer term 2021). Spring/summer rent is $280, fall/winter is $410. ...



See More"
26,3 beds · 2 bath · Room Only,$320 / Month,"3 Beds 2 Baths - Room only
950 S 750 E, Orem, UT 84097-7203, United States"
27,Iso,"$400 · Saratoga Springs, UT","I know this may be a long shot, but any chance there are 2 contracts available for fall semester??"
28,Single Women’s BYU Approved Apartment,"$350 · Provo, UT","Hi! I’m looking for an apartment near BYU for this Fall! I’ve looked into a lot of places online but I’m just not sure if they’ll be very good! Does anyone have any recommendations? I’m hoping for something below $400, even below $350 if possible! Thanks!"
29,ISO 2 FALL CONTRACTS,"FREE · Provo, UT","Looking for two contracts!
-Must start in August
-shared or private rooms
-would like to stay under $450 total
-must be south of BYU campus...

See More"
30,ISO for FALL/WINTER,"$425 · Herriman, UT",Looking for a Fall/Winter female housing with a parking spot for BYU student!
31,BYU Men's Condo. Private Rooms. Fall 2020 Contracts,"$345 · Provo, UT",BYU men's approved apartment. Private rooms. 2 spots available in 3 bedroom condo. Contracts start Fall 2020. Located 10 minute walk from campus. 2 parking spots with the unit. Furnished and has washer/dryer in unit.
32,BYU Condo Row Fall Contracts 4 spots,"$410 · Provo, UT",Condo Row. BYU women's approved apartment. shared rooms. 4 spots available in 2 bedroom condo. Contracts start Fall 2020. Located just south of campus. 2 parking spots with the unit. Furnished and has washer/dryer in unit.
33,Private room at BDA - summer only,"$180 · Provo, UT","Huge private room at BDA (161 e 700 n, provo) available end of June, only have to share with another roommate. The place has washer and dryer.
The whole place is spacious and close to BYU, uvx bus and smiths grocery store...
Contract lasts until 8/14, perfect if you're looking for a place to stay temporarily before moving in your Fall housing"
34,ISO,"$350 · Simi Valley, CA",Looking for 2 women contracts for fall/winter! Moving in July or August. Close to BYU is preferred! Let me know. ☺️
35,DISCOUNTED** Summer contract at Arcadia- can move in THIS WEEK!!!,"$200 · Provo, UT","Typically about $300 but I’m giving $100/month as a discount!! Contract through the summer. This place is AMAZING for the summer! I would’ve stayed but I’m leaving for a mission. Between Sparks II and Blueridge (that are both in your ward) you will have access to a few different pools, hot tubs, and clubhouses (ping pong, pool, piano, etc)! Down the road is a volleyball court and grass field to play games. VASA is a 30 sec walk away. If you need transportation the UTA comes r...


See More"
